Plot,Block,Col,Row,Ind,Family,Population,Massif,Altitude,Exposure,Type,Total_fruit_length_2014,H_base_2014,Area_2014,Total_fruit_length_2015,Area_2015,H_base_2015,tfl,area,h.base
Low elevation,1,A,13,A13,CHA-9,CHA,Vercors,1480,North,NR,43820.533,65,38013.271,,,,43820.53,38013.27,65
Low elevation,1,B,10,B10,BRU-8,BRU,Vercors,930,South,NR,21114,65,21362.83,,,,21114,21362.83,65
Low elevation,1,B,6,B6,F029-27,F029,Lautaret,1894,NA,NR,52864,65,18849.556,,,,52864,18849.56,65
Low elevation,1,E,8,E8,CHA-9,CHA,Vercors,1480,North,NR,30380.4,65,11309.734,,,,30380.4,11309.73,65
Low elevation,1,E,6,E6,BRU-15,BRU,Vercors,930,South,NR,23361.067,65,12252.211,,,,23361.07,12252.21,65
Low elevation,2,B,3,B3,F107-8,F107,Vercors,1704,NA,NR,32132.267,65,11780.972,,,,32132.27,11780.97,65
Low elevation,2,B,1,B1,VIL-10,VIL,Vercors,1980,South,NR,27955.2,65,11290.099,,,,27955.2,11290.1,65
Low elevation,2,C,15,C15,VIL-5,VIL,Vercors,1980,South,NR,39039,65,8639.38,,,,39039,8639.38,65
Low elevation,2,C,11,C11,PIC-16,PIC,Lautaret,2930,South,TR,6697.067,65,7422.013,,,,6697.07,7422.01,65
Low elevation,2,C,7,C7,GAL-8,GAL,Lautaret,2590,North,TR,10234.133,65,6008.296,,,,10234.13,6008.3,65
Low elevation,2,C,4,C4,BRU-20,BRU,Vercors,930,South,NR,19964.4,65,13194.689,,,,19964.4,13194.69,65
Low elevation,2,D,5,D5,FGAL-P,FGAL,Lautaret,2600,North,S,0,65,176.715,,,,0,176.72,65
Low elevation,2,D,1,D1,F107-4,F107,Vercors,1704,NA,NR,36192,65,7068.583,,,,36192,7068.58,65
Low elevation,3,A,9,A9,F107-5,F107,Vercors,1704,NA,NR,40186.8,65,20106.193,,,,40186.8,20106.19,65
Low elevation,3,A,2,A2,CHA-10,CHA,Vercors,1480,North,NR,12370.8,65,12959.07,,,,12370.8,12959.07,65
Low elevation,3,C,15,C15,VIL-7,VIL,Vercors,1980,South,TR,23355.733,65,14294.247,,,,23355.73,14294.25,65
Low elevation,3,C,10,C10,LAU-14,LAU,Lautaret,2090,North,NR,,65,6361.725,,,,,6361.73,65
High elevation,4,D,5,D5,CHA-10,CHA,Vercors,1480,North,NR,2478.6,31,5222.898,13795.2,19782,100,8136.9,12502.45,65.5
Low elevation,1,A,19,A19,F005-19,F005,Vercors,1842,NA,NR,62596.8,70,29845.13,,,,62596.8,29845.13,70
Low elevation,1,A,16,A16,F107-4,F107,Vercors,1704,NA,NR,60319.933,70,14294.247,,,,60319.93,14294.25,70
Low elevation,1,A,12,A12,CHA-5,CHA,Vercors,1480,North,NR,54581.333,70,16336.282,,,,54581.33,16336.28,70
Low elevation,1,A,8,A8,PIC-18,PIC,Lautaret,2930,South,TR,15225,70,21205.75,,,,15225,21205.75,70
Low elevation,1,A,4,A4,VIL-15,VIL,Vercors,1980,South,NR,77168.933,70,25368.361,,,,77168.93,25368.36,70
Low elevation,1,B,15,B15,LAU-1,LAU,Lautaret,2090,North,I,39797.333,70,9424.778,,,,39797.33,9424.78,70
Low elevation,1,B,8,B8,F029-31,F029,Lautaret,1894,NA,NR,30114.933,70,9424.778,,,,30114.93,9424.78,70
Low elevation,1,B,5,B5,LAU-3,LAU,Lautaret,2090,North,NR,34977.4,70,22619.467,,,,34977.4,22619.47,70
Low elevation,1,D,7,D7,VIL-8,VIL,Vercors,1980,South,NR,37013.333,70,21205.75,,,,37013.33,21205.75,70
Low elevation,1,D,1,D1,BRU-8,BRU,Vercors,930,South,NR,72790.4,70,16493.361,,,,72790.4,16493.36,70
Low elevation,1,E,15,E15,LAU-10,LAU,Lautaret,2090,North,TR,38220,70,10367.256,,,,38220,10367.26,70
Low elevation,1,E,14,E14,F005-25,F005,Vercors,1842,NA,NR,36095.333,70,12252.211,,,,36095.33,12252.21,70
Low elevation,2,A,8,A8,FGAL-128,FGAL,Lautaret,2600,North,TR,6521.2,70,6283.185,,,,6521.2,6283.19,70
Low elevation,2,B,20,B20,F107-45,F107,Vercors,1704,NA,NR,56754.867,70,24033.184,,,,56754.87,24033.18,70
Low elevation,2,B,6,B6,CHA-10,CHA,Vercors,1480,North,I,32944,70,14686.946,,,,32944,14686.95,70
Low elevation,2,E,7,E7,VIL-12,VIL,Vercors,1980,South,NR,34416.2,70,10799.225,,,,34416.2,10799.23,70
Low elevation,3,C,13,C13,F107-4,F107,Vercors,1704,NA,NR,32818.667,70,9503.318,,,,32818.67,9503.32,70
Low elevation,3,C,4,C4,LAU-2,LAU,Lautaret,2090,North,I,10708.8,70,5654.867,,,,10708.8,5654.87,70
Low elevation,3,C,3,C3,F005-35,F005,Vercors,1842,NA,NR,9565.333,70,5301.438,,,,9565.33,5301.44,70
Low elevation,3,C,2,C2,VIL-5,VIL,Vercors,1980,South,NR,40427.4,70,12095.132,,,,40427.4,12095.13,70
Low elevation,3,E,16,E16,CHA-16,CHA,Vercors,1480,North,NR,16840,70,9346.238,,,,16840,9346.24,70
Low elevation,3,E,14,E14,GAL-7,GAL,Lautaret,2590,North,TR,17802,70,16336.282,,,,17802,16336.28,70
Low elevation,3,E,8,E8,F005-32,F005,Vercors,1842,NA,NR,19391.4,70,9817.477,,,,19391.4,9817.48,70
Low elevation,3,E,3,E3,CHA-17,CHA,Vercors,1480,North,NR,37574.933,70,45160.394,,,,37574.93,45160.39,70
Low elevation,3,E,1,E1,F005-14,F005,Vercors,1842,NA,NR,30716.667,70,10367.256,,,,30716.67,10367.26,70
Low elevation,1,B,20,B20,LAU-8,LAU,Lautaret,2090,North,TR,23889.6,75,7853.982,,,,23889.6,7853.98,75
Low elevation,1,C,3,C3,CHA-16,CHA,Vercors,1480,North,NR,21549.8,75,23561.945,,,,21549.8,23561.95,75
Low elevation,1,D,17,D17,CHA-12,CHA,Vercors,1480,North,NR,68016.2,75,32986.723,,,,68016.2,32986.72,75
Low elevation,2,E,3,E3,LAU-2,LAU,Lautaret,2090,North,I,48087.2,75,8639.38,,,,48087.2,8639.38,75
Low elevation,1,A,11,A11,VIL-12,VIL,Vercors,1980,South,NR,30218.8,80,36285.395,,,,30218.8,36285.4,80
Low elevation,1,A,7,A7,VIL-13,VIL,Vercors,1980,South,NR,95993.333,80,36285.395,,,,95993.33,36285.4,80
Low elevation,1,A,6,A6,F005-30,F005,Vercors,1842,NA,NR,42629.067,80,9896.017,,,,42629.07,9896.02,80
Low elevation,1,C,13,C13,F107-40,F107,Vercors,1704,NA,NR,44309.333,80,17592.919,,,,44309.33,17592.92,80
Low elevation,1,C,12,C12,F005-39,F005,Vercors,1842,NA,I,38746.4,80,14137.167,,,,38746.4,14137.17,80
Low elevation,1,E,13,E13,CHA-15,CHA,Vercors,1480,North,NR,83844.8,80,17592.919,,,,83844.8,17592.92,80
Low elevation,1,E,4,E4,CHA-17,CHA,Vercors,1480,North,NR,127180.8,80,43982.297,,,,127180.8,43982.3,80
Low elevation,1,E,3,E3,F107-4,F107,Vercors,1704,NA,NR,121823,80,32986.723,,,,121823,32986.72,80
Low elevation,2,D,20,D20,F005-18,F005,Vercors,1842,NA,NR,80613.867,80,21912.609,,,,80613.87,21912.61,80
Low elevation,1,C,1,C1,F107-45,F107,Vercors,1704,NA,NR,44601.6,85,19792.034,,,,44601.6,19792.03,85
Low elevation,3,A,13,A13,LAU-2,LAU,Lautaret,2090,North,TR,18084,85,7853.982,,,,18084,7853.98,85
Low elevation,3,D,16,D16,LAU-1,LAU,Lautaret,2090,North,NR,38061.8,85,8011.061,,,,38061.8,8011.06,85
Low elevation,3,D,2,D2,F107-45,F107,Vercors,1704,NA,NR,21212.533,85,6361.725,,,,21212.53,6361.73,85
Low elevation,3,E,5,E5,LAU-3,LAU,Lautaret,2090,North,TR,39085.2,85,16493.361,,,,39085.2,16493.36,85
Low elevation,1,A,2,A2,F005-25,F005,Vercors,1842,NA,NR,16119.4,90,5654.867,,,,16119.4,5654.87,90
Low elevation,1,B,17,B17,LAU-3,LAU,Lautaret,2090,North,TR,31152,90,11231.194,,,,31152,11231.19,90
Low elevation,1,B,1,B1,VIL-19,VIL,Vercors,1980,South,NR,156492,90,26389.378,,,,156492,26389.38,90
Low elevation,1,D,19,D19,CHA-14,CHA,Vercors,1480,North,I,71092.933,90,29845.13,,,,71092.93,29845.13,90
Low elevation,1,E,20,E20,LAU-2,LAU,Lautaret,2090,North,I,34504.267,90,13273.229,,,,34504.27,13273.23,90
Low elevation,2,B,10,B10,CHA-9,CHA,Vercors,1480,North,NR,29412.267,90,14294.247,,,,29412.27,14294.25,90
Low elevation,3,A,4,A4,CHA-15,CHA,Vercors,1480,North,NR,16543.2,90,15315.264,,,,16543.2,15315.26,90
Low elevation,3,B,18,B18,F005-19,F005,Vercors,1842,NA,NR,33011.733,90,3848.451,,,,33011.73,3848.45,90
Low elevation,3,B,4,B4,BRU-15,BRU,Vercors,930,South,NR,20583.333,90,16493.361,,,,20583.33,16493.36,90
Low elevation,2,A,20,A20,VIL-7,VIL,Vercors,1980,South,TR,66284.4,95,29845.13,,,,66284.4,29845.13,95
