Plot,Block,Col,Row,Ind,Family,Population,Massif,Altitude,Exposure,Type,Total_fruit_length_2014,H_base_2014,Area_2014,Total_fruit_length_2015,Area_2015,H_base_2015,tfl,area,h.base
High elevation,3,B,16,B16,VIL-15,VIL,Vercors,1980,South,R,322.2,18,409.978,2412.4,1413,20,1367.3,911.49,19
High elevation,3,C,7,C7,BRU-15,BRU,Vercors,930,South,NR,1315.8,8,188.496,0,549.5,30,657.9,369,19
High elevation,3,C,3,C3,F005-18,F005,Vercors,1842,NA,NR,2074.8,13,133.518,2150.4,2355,25,2112.6,1244.26,19
High elevation,3,E,8,E8,VIL-8,VIL,Vercors,1980,South,R,194.4,18,1225.221,1054,2374.625,20,624.2,1799.92,19
High elevation,5,B,20,B20,F005-31,F005,Vercors,1842,NA,I,1353,28,1976.062,1860,1942.875,10,1606.5,1959.47,19
High elevation,2,A,12,A12,BRU-15,BRU,Vercors,930,South,I,843.2,19,376.991,0,294.375,20,421.6,335.68,19.5
High elevation,2,A,10,A10,GAL-1,GAL,Lautaret,2590,North,TR,759,14,725.708,307.2,1236.375,25,533.1,981.04,19.5
High elevation,2,D,18,D18,bordure,bordure,NA,NA,NA,R,518.4,19,740.63,1686.4,785,20,1102.4,762.82,19.5
High elevation,2,E,20,E20,F005-31,F005,Vercors,1842,NA,I,838.2,19,1275.487,3765.257143,3238.125,20,2301.73,2256.81,19.5
High elevation,2,E,19,E19,bordure,bordure,NA,NA,NA,R,511.2,24,480.664,793.6,942,15,652.4,711.33,19.5
High elevation,2,B,13,B13,LAU-3,LAU,Lautaret,2090,North,R,257.6,20,667.588,,,,257.6,667.59,20
High elevation,2,C,12,C12,VIL-1,VIL,Vercors,1980,South,R,0,20,511.294,,,,0,511.29,20
High elevation,2,C,2,C2,F005-14,F005,Vercors,1842,NA,NR,1452.2,,,3928.727273,2198,20,2690.46,2198,20
High elevation,3,A,8,A8,GAL-1,GAL,Lautaret,2590,North,I,1023,20,560.774,,,,1023,560.77,20
