SEX,Survival,pop.size,pop.size.prev,Fhat3,MatFhat3,Density
2,1,325,591,-0.00752553,-0.00482683,Low
2,1,325,591,-0.0370953,-0.0277784,Low
2,1,325,591,-0.0564667,-0.0142433,Low
1,1,325,591,-0.028546,-0.0142433,Low
2,1,325,591,0.00724815,0.024546,Low
1,1,325,591,0.0203467,0.0147903,Low
2,0,325,591,0.0134617,-0.015633,Low
2,1,325,591,0.00977045,-0.0065419,Low
1,1,325,591,0.00245061,-0.0175539,Low
2,1,325,591,0.0577862,-0.00849013,Low
2,1,325,591,0.0235147,-0.00380645,Low
2,1,325,591,-0.0176197,-0.0424486,Low
1,1,325,591,-0.0100964,0.00428412,Low
1,0,325,591,0.00487078,-0.00816571,Low
1,1,325,591,0.0226585,-0.0325686,Low
1,1,325,591,-0.0277407,-0.0192456,Low
1,0,325,591,0.00529536,-0.0185132,Low
1,1,325,591,0.0297578,-0.0168279,Low
1,1,325,591,-0.0246134,-0.047189,Low
1,1,325,591,-0.0435211,-0.047189,Low
1,1,325,591,0.0294809,-0.0221249,Low
1,1,325,591,0.0173532,-0.0346728,Low
2,1,325,591,0.00778281,0.00427019,Low
2,1,325,591,-0.03166,-0.016482,Low
1,1,325,591,0.0243558,-0.00778307,Low
1,1,325,591,0.285053,0.00466271,Low
2,1,325,591,-0.00465206,0.00940437,Low
2,1,325,591,-0.0192197,0.00940437,Low
2,1,325,591,-0.0405543,-0.00409303,Low
1,1,325,591,0.0136922,-0.0285054,Low
1,1,325,591,0.00326406,0.024892,Low
1,1,325,591,0.0189131,-0.0285919,Low
1,1,325,591,0.0227103,0.00476062,Low
2,1,325,591,0.0246537,0.0107203,Low
1,1,325,591,-0.00679169,-0.0351052,Low
1,1,325,591,-0.0388923,-0.0351052,Low
2,1,325,591,0.0347693,-0.0134816,Low
1,1,325,591,0.0213644,-0.0176457,Low
2,1,325,591,-0.022909,-0.0435211,Low
1,1,325,591,0.0106953,-0.0364564,Low
2,1,325,591,-0.03209,-0.00537301,Low
1,1,325,591,-0.013562,-0.00606993,Low
2,0,325,591,0.0304211,0.0290555,Low
1,1,325,591,0.0113288,0.0290555,Low
2,1,325,591,-0.0260539,-0.00441283,Low
1,1,325,591,-0.0132288,-0.00743591,Low
2,1,325,591,0.00586525,-0.00176468,Low
1,1,325,591,0.0628082,-0.0221407,Low
1,1,325,591,-0.00288433,-0.0221407,Low
1,1,325,591,-0.0125899,0.0256569,Low
1,1,325,591,-0.00223139,-0.0144068,Low
1,1,325,591,0.120922,0.000164651,Low
2,1,325,591,-0.00825803,-0.00719734,Low
1,1,325,591,0.00624672,-0.0189787,Low
1,1,325,591,0.0299821,-0.0174209,Low
2,0,325,591,-0.00669687,-0.0194769,Low
1,1,335,651,0.0191145,-0.0149599,Low
1,1,335,651,-0.0325757,-0.00476325,Low
1,0,335,651,-0.0142433,-0.0156891,Low
1,1,335,651,-0.0185378,-0.0213329,Low
2,1,335,651,-0.0353495,-0.0214404,Low
1,1,335,651,-0.0422779,-0.00910843,Low
1,1,335,651,0.00298122,-0.00112828,Low
1,1,335,651,-0.0171053,-0.0679467,Low
1,0,335,651,-0.0336857,-0.00298911,Low
1,1,335,651,-0.0144918,-0.00298911,Low
1,1,335,651,0.0157588,0.0365382,Low
1,1,335,651,0.000887011,-0.00115031,Low
1,1,335,651,0.0150026,-0.0166915,Low
1,1,335,651,-0.000163349,-0.0143185,Low
1,1,335,651,0.0420091,-0.0143185,Low
1,1,335,651,-0.0319793,-0.0143185,Low
1,1,335,651,0.00542396,-0.0143185,Low
1,1,335,651,-0.0516398,0.0121915,Low
1,1,335,651,0.0021071,0.0121915,Low
1,0,335,651,-0.0176457,-0.0177367,Low
1,1,335,651,-0.0346728,-0.0203103,Low
1,1,335,651,-0.0248524,-0.0294898,Low
1,1,335,651,-0.0194769,0.00265591,Low
1,1,335,651,0.0107428,-0.0369377,Low
2,0,335,651,0.00774117,0.0035052,Low
1,1,335,651,-0.0170521,0.00906772,Low
1,1,335,651,-0.00482683,0.00906772,Low
1,1,335,651,-0.0175539,0.00906772,Low
1,1,335,651,0.00804569,0.00906772,Low
1,1,335,651,-0.0277784,-0.0336857,Low
2,1,335,651,-0.0266489,-0.0336857,Low
1,1,335,651,-0.047189,-0.00605648,Low
1,1,335,651,-0.0138914,-0.00605648,Low
2,1,335,651,0.0169919,-0.00605648,Low
1,1,335,651,0.000165758,0.0232259,Low
1,1,335,651,-0.0241541,0.0373364,Low
1,1,335,651,0.00466271,0.0373364,Low
1,1,335,651,-0.00849013,-0.0437647,Low
1,1,335,651,-0.0325686,0.0130153,Low
1,1,335,651,-0.0065419,0.0226486,Low
1,1,335,651,-0.0277001,-0.0169381,Low
1,1,335,651,-0.018345,-0.0367469,Low
1,1,335,651,0.00427019,-0.0367469,Low
1,1,335,651,-0.00599403,-0.0199272,Low
1,1,335,651,-0.0354301,-0.0199272,Low
1,1,335,651,0.00488724,0.0150971,Low
1,1,335,651,0.024546,-0.0237038,Low
2,1,335,651,0.000749731,-0.0237038,Low
1,1,335,651,-0.0221249,-0.0237038,Low
1,1,335,651,0.00281088,-0.0237038,Low
1,1,335,651,-0.0174209,-0.00875739,Low
1,1,335,651,-0.0165183,-0.00875739,Low
1,1,335,651,0.0186275,-0.00875739,Low
1,1,335,651,-0.0116791,-0.0367599,Low
1,1,335,651,-0.0175016,-0.0367599,Low
1,1,335,651,-0.0168279,-0.0135042,Low
1,1,335,651,-0.00452252,0.00894754,Low
1,1,335,651,-0.00441283,-0.013717,Low
1,1,335,651,0.0068709,-0.00651364,Low
1,1,335,651,-0.0327553,0.00679361,Low
1,1,335,651,-0.0424486,0.00679361,Low
1,1,335,651,0.000673285,-0.018545,Low
1,1,335,651,-0.0346105,-0.018545,Low
2,1,335,651,-0.0401788,-0.018545,Low
1,1,335,651,0.0448064,0.00925801,Low
1,1,335,651,-0.0247222,-0.00381165,Low
1,1,335,651,-0.00380645,0.00298122,Low
1,1,335,651,-0.038692,-0.00987498,Low
1,1,335,651,-0.0285054,-0.0324795,Low
1,1,335,651,-0.0287033,-0.0354301,Low
2,1,335,651,1.48E-05,0.00125462,Low
1,1,335,651,-0.0118826,0.00748992,Low
1,1,335,651,-0.0210904,0.00748992,Low
1,1,335,651,-0.0436209,-0.01564,Low
1,1,335,651,-0.00302333,-0.000163349,Low
1,1,335,651,0.00940437,-0.000163349,Low
1,1,335,651,-0.00603254,-0.000918347,Low
2,1,335,651,0.0218863,-0.0422779,Low
1,1,335,651,0.00290997,-0.0422779,Low
1,1,335,651,0.00752459,0.0313514,Low
2,1,335,651,-0.000164595,0.0313514,Low
1,1,335,651,-0.00986658,-0.0111592,Low
2,1,335,651,-0.0202917,-0.0144918,Low
2,1,335,651,0.0032842,-0.0144918,Low
1,1,335,651,-0.0376297,0.0221571,Low
1,1,335,651,-0.0445339,-0.0248225,Low
1,1,335,651,-0.0189787,0.00367287,Low
1,1,335,651,-0.00409303,-0.0319793,Low
1,1,335,651,-0.00755827,-0.0319793,Low
2,1,335,651,-0.0345821,-0.018345,Low
1,1,335,651,0.000648107,0.00295905,Low
1,1,335,651,0.0229202,-0.0238475,Low
2,NA,335,651,-0.0264961,0.00911993,Low
1,1,335,651,-0.0187849,0.00281088,Low
1,1,335,651,0.0245727,0.018656,Low
1,1,335,651,0.0160023,0.0301612,Low
1,1,335,651,-0.0334529,-0.0325757,Low
1,0,335,651,-0.0185132,-0.0325757,Low
1,1,335,651,-0.0052504,-0.0102402,Low
2,1,335,651,-0.0103741,-0.0277784,Low
1,1,335,651,-0.00950089,0.024546,Low
1,1,335,651,0.0203467,0.0147903,Low
1,1,335,651,-0.0013815,-0.0065419,Low
1,1,335,651,0.00509015,-0.0065419,Low
1,1,335,651,-0.0163334,-0.0175539,Low
2,1,335,651,-0.00344631,-0.00380645,Low
2,1,335,651,0.0235147,-0.00380645,Low
1,1,335,651,0.00654027,-0.0424486,Low
1,1,335,651,-0.0100964,0.00428412,Low
1,1,335,651,0.0226585,-0.0325686,Low
1,1,335,651,-0.041785,-0.0185132,Low
1,1,335,651,0.0297578,-0.0168279,Low
1,1,335,651,-0.00909043,-0.0168279,Low
2,1,335,651,0.0584204,-0.047189,Low
1,1,335,651,-0.0435211,-0.047189,Low
1,1,335,651,-0.0246134,-0.047189,Low
2,1,335,651,-0.0158224,-0.0221249,Low
2,1,335,651,-0.0131294,-0.0346728,Low
1,1,335,651,0.0173532,-0.0346728,Low
1,1,335,651,-0.024283,-0.0346728,Low
2,1,335,651,-0.03166,-0.016482,Low
2,1,335,651,0.0126035,-0.016482,Low
